iter	Logloss
0	0.6440490104
1	0.5931475048
2	0.5477468098
3	0.5097527774
4	0.474643519
5	0.4424874457
6	0.413466619
7	0.383521036
8	0.3605784715
9	0.3395067906
10	0.3196405187
11	0.3013120573
12	0.2850711718
13	0.2701517007
14	0.2557189115
15	0.243167299
16	0.230566903
17	0.2200117929
18	0.2099464253
19	0.2010212329
20	0.1909552198
21	0.1834976285
22	0.1761302788
23	0.1694845946
24	0.1632893731
25	0.1571763516
26	0.151955236
27	0.147375091
28	0.1431718927
29	0.1392902498
30	0.1354520054
31	0.1321252679
32	0.1290018637
33	0.1261350615
34	0.1234707874
35	0.1209558533
36	0.1186523293
37	0.115818633
38	0.1138517511
39	0.1119252267
40	0.1089495347
41	0.1074089674
42	0.1058301582
43	0.1038634688
44	0.1018606098
45	0.1005833361
46	0.09940715007
47	0.09842348391
48	0.09702615809
49	0.09618691218
50	0.09540033142
51	0.09416630716
52	0.09281375476
53	0.09182120253
54	0.09116244663
55	0.09038087139
56	0.0897640171
57	0.08930087681
58	0.08854857282
59	0.08811690034
60	0.08756796427
61	0.08721502054
62	0.08688276011
63	0.0862398769
64	0.08570529252
65	0.08513535581
66	0.08460615895
67	0.08429087278
68	0.08377651948
69	0.08330398463
70	0.08298939985
71	0.08261258702
72	0.08218822423
73	0.08188881986
74	0.08161163074
75	0.08148396893
76	0.08128344213
77	0.08109892474
78	0.08072013097
79	0.08043036053
80	0.08018625589
81	0.07998948364
82	0.07980764511
83	0.07955840579
84	0.07922017419
85	0.07912199499
86	0.07899176548
87	0.07879989588
88	0.07860138117
89	0.07834071148
90	0.07819590151
91	0.07808779144
92	0.07793507396
93	0.07781781982
94	0.0776774502
95	0.07753146613
96	0.07745472241
97	0.07724606648
98	0.07707915633
99	0.07696458453
100	0.07688790668
101	0.07678733552
102	0.07650188163
103	0.07639440386
104	0.0762965883
105	0.07624820046
106	0.07611411827
107	0.07603816839
108	0.07593821432
109	0.07585355463
110	0.07584478559
111	0.07574474499
112	0.0756427177
113	0.07554423458
114	0.07546631498
115	0.07540985656
116	0.07539204254
117	0.07529797313
118	0.07522630552
119	0.07515111321
120	0.07508761866
121	0.07502262643
122	0.07496059083
123	0.07484453079
124	0.07480123443
125	0.07472798168
126	0.07465353125
127	0.0746087675
128	0.07450041541
129	0.07445536568
130	0.0744085886
131	0.07433595133
132	0.07423999545
133	0.07420832751
134	0.07411998172
135	0.0740726889
136	0.0740288384
137	0.07400128445
138	0.07389870221
139	0.07384927458
140	0.07379252238
141	0.07377869991
142	0.07370349985
143	0.07362295199
144	0.07358361203
145	0.07355958811
146	0.07352926885
147	0.07351290364
148	0.07346427471
149	0.07339523278
150	0.07329948503
151	0.07326399617
152	0.07323161057
153	0.07319518204
154	0.07316959932
155	0.07309259623
156	0.07297460277
157	0.07296214963
158	0.0728935022
159	0.0728697156
160	0.07279064941
161	0.07276690448
